,geo_code,1960 or before,1961 to 1980,1981 to 1990,1991 to 2000,2001 to 2005,2006 to 2010,2011 to 2016
632,35250457,x,x,x,x,x,x,x
633,35250458,45,150,40,0,0,0,0
634,35250459,275,50,20,0,10,0,0
635,35250460,115,20,0,10,0,0,0
636,35250461,85,25,35,20,0,0,0
637,35250462,135,15,10,0,10,0,0
638,35250463,125,65,0,0,10,0,0
639,35250464,110,20,0,0,0,0,10
640,35250465,75,110,55,10,15,10,0
641,35250466,115,25,0,0,10,0,0
642,35250467,175,215,50,55,20,0,0
643,35250468,150,40,0,20,10,15,10
644,35250471,120,10,0,0,0,0,10
645,35250472,175,45,0,0,0,0,0
646,35250473,135,25,0,0,0,0,0
647,35250474,120,55,20,110,0,0,0
648,35250475,210,10,0,0,0,0,0
649,35250476,115,30,0,0,10,0,0
650,35250477,170,25,0,0,0,0,0
651,35250478,150,0,10,0,0,0,0
652,35250479,230,0,0,0,0,0,0
653,35250480,150,50,10,10,0,0,0
654,35250481,125,20,0,0,0,0,0
655,35250482,135,15,0,0,0,0,10
656,35250483,90,30,0,0,0,0,25
657,35250484,125,25,0,0,0,0,0
658,35250485,125,50,20,10,0,0,0
659,35250486,80,185,15,20,0,0,0
660,35250487,125,15,15,0,0,0,0
661,35250488,105,25,15,0,0,0,10
662,35250489,105,25,0,0,0,0,0
663,35250490,110,20,0,0,0,0,10
664,35250491,40,35,15,0,0,0,0
665,35250492,110,25,0,10,0,0,0
666,35250493,110,30,10,10,10,0,0
667,35250494,100,15,60,10,0,0,0
668,35250495,140,45,10,0,0,0,0
669,35250496,105,30,0,0,0,0,0
670,35250497,225,30,0,10,0,0,10
671,35250498,230,15,0,0,0,0,0
